drug,MACCS_fp,morgan_512_fp,morgan_1024_fp,pubchem_fp
Cotrimoxazol,00000000000000000000000001000000110000100000000000010101011111001101010111000100110110001110011111100010001000001100010011001111001101011100111111101111100111111111111,10111010000000000000000000000000010000000010100000000000000000010000000000010000100010000000000000000000000000000000000001000000100000000011000010010000000000001000000000000000000000010010000000000000000100100000001000100000000000000000000000000010110000000000000000001000000000000010100000000000000000000000000000000001000001000100010001000000000000100000100000010000000100101010000000000000000000000000001001000000000000000000100001110000100000000000100000000001000000000000000000000000000000001000001010000001,0011100000000000000000000000000001000000000010000000000000000000000000000001000010001000000000000000000000000000000000000000000010000000000000001001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000001010000000000000000000000000000000000100000100000001000000000000000010000010000000000000000010001000000000000000000000000000100100000000000000000010000101000000000000000010000000000000000000000000000000000000000000000000101000000110000010000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000011000010000000000000000000000000000000000000010010000000000000000100100000001000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000100000001000000000000000000100000010000000100001000000000000000000000000000000000000000000000000000000000100000100000000000000000000001000000000000000000000000000000001000000000000000,1101110001111000000111101110111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000011110001100000100000000000000000000000000000000000000000000000000000000000000111110100000000000000000000011110000001000001010001000000000000000000000000001100000011001100000111011010000001100011111111110111100101100101100000010100000000101010100100000010101101100111011101100110011100001100001010001000001110010011010100100010101000000010100111011000001110010011111011101100110110101000110100101111101010101100010011111001110110111000010000110100101010100110111111010000000111110100101011101000011001111001000011100000111111000000111000100000000001000000000100001000000000000000000001000000000000000100000000001000000000100001000000000000000000001000000000000000000000000000000000000000000000000000000000000000
Cotrimoxazole,00000000000000000000000001000000110000100000000000010101011111001101010111000100110110001110011111100010001000001100010011001111001101011100111111101111100111111111111,10111010000000000000000000000000010000000010100000000000000000010000000000010000100010000000000000000000000000000000000001000000100000000011000010010000000000001000000000000000000000010010000000000000000100100000001000100000000000000000000000000010110000000000000000001000000000000010100000000000000000000000000000000001000001000100010001000000000000100000100000010000000100101010000000000000000000000000001001000000000000000000100001110000100000000000100000000001000000000000000000000000000000001000001010000001,0011100000000000000000000000000001000000000010000000000000000000000000000001000010001000000000000000000000000000000000000000000010000000000000001001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000001010000000000000000000000000000000000100000100000001000000000000000010000010000000000000000010001000000000000000000000000000100100000000000000000010000101000000000000000010000000000000000000000000000000000000000000000000101000000110000010000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000011000010000000000000000000000000000000000000010010000000000000000100100000001000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000100000001000000000000000000100000010000000100001000000000000000000000000000000000000000000000000000000000100000100000000000000000000001000000000000000000000000000000001000000000000000,1101110001111000000111101110111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000011110001100000100000000000000000000000000000000000000000000000000000000000000111110100000000000000000000011110000001000001010001000000000000000000000000001100000011001100000111011010000001100011111111110111100101100101100000010100000000101010100100000010101101100111011101100110011100001100001010001000001110010011010100100010101000000010100111011000001110010011111011101100110110101000110100101111101010101100010011111001110110111000010000110100101010100110111111010000000111110100101011101000011001111001000011100000111111000000111000100000000001000000000100001000000000000000000001000000000000000100000000001000000000100001000000000000000000001000000000000000000000000000000000000000000000000000000000000000
Daptomycin,00000000000000000000000000000000000000000000000000000110010000000100000000000001101110000111100111001100110011110011111011010101110111011111111111110111111111111111110,01000001001000000000000000011000010001010100000100000000000001001000000101000001100000100010000000000100000000000001010100000000101000001010100010010000010001000000000001001001000000100100000000000000010100000010001010000010100000000100001000010011001000000000010100100000000000000011010000000011000001001010000000100000100001001010010001000001001000001001100000111000000000011000010100010100000000100100000000000010000010010000010001110100111000000000000100000000000001001000000010101010010011100100000100010000,0100000000100000000000000000000001000000010000010000000000000000100000000000000110000010001000000000010000000000000101010000000010100000000010000001000000000000000000000100000100000000000000000000000000010000000000000000001000000000010000000001000000100000000001010010000000000000000101000000001000000100001000000010000000000100100001000000000000000000000110000000100000000000100000000001010000000000000000000000000000001001000000000101000010000000000000000000000000000000000000000010000000001110000000010000000000000001000000000000000000011000000001010000000000000000000001000000000101000001100000000000000000000000000000000000000000000000000000001010000010000000010001000000000000001000000000100100000000000000010100000010001010000000100000000000001000000011000000000000000000000000000000000010000000000011000000001000000000000000100000000010000001000001001000001000000000110000000000010000010100000000000000100100000000000010000000000000010000100100011000000000000100000000000001001000000010001010010010100100000000010000,1101110001111100000111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000011000001100000000000000000000000000000000000000000000000000000010110000000000111110100000000000000000000011110000000000001000000001000000000000000000000001101001111001110000110011110000001100011111011001000111100101100100110010110000000001010100000000011101101011111011101011100000000001000001010000000001000000011010100000010001000000000100011011001101000011011100001100100110110000000101001110000111111101100000011010101101100011001011101100001100010000110011010110110000000001101100011001001110001111011111111011111111100101000111010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000
Doxycycline,00000000000000000000000000100000000000000000000000100110000000000010000010101000000011100100110101010100010000101100010000100001000101001001111111101111101011111111110,00010000000001010000000000000000010011000000011000000000001000001010000100000000000000000000001100000000000000000000001000000000001000000011100000010000000000000101000000000000000000000001000000000000000000000001001000000000000000000100000000000000000000000000000000000000100010000000010000000001010000010000010010100100010000000000000001000000000000000000100000000100010100000000010000000000000010000000000000000000000000000000000001000010000000010000000000000001100000000000000000000000000001000100000000010000,0001000000000001000000000000000001001100000001100000000000100000100000000000000000000000000000010000000000000000000000100000000000100000000110000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010001000000001000000000000000001000001000010010000000000000000000000000000000000000010000000010000010000000000000000000000000000000000000000000000000000000000000100001000000001000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000011000000000000000000010000100000000000000000000001000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000001000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000010000100010000000000000001000000000000000000000000000000010000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000100000000010000,1101110001111000000111101100111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000001100000100000010000000000000000000000000000000000000000000000001000000100000000000000000000000000011110000000000001000000001000000000000000000000001101011111001110000110011000000001100011001000000110100000110100000000000010000000001000100000000010101000010101001000010000000000101000001000000000000000000010000000100000000000000000100010001000000000011100111000001000110010000000100100110111001111101000101010010001001100101000010001110000000000000010011111100000000100010000100110011001000001111111111011101110111101001010111010000000000000000000000100000000000000000001100000000000000000001100000000000000000001100001000000000000001100000000000000000000000000000000000000000000000000000000000000000000
Ertapenem,00000000100100000001000000000000000000000000010000000010000000001000000000001001011101001111100111011000110000110000010011110001010101011101101100101111111011111111110,11000100000000010000000000000000010000100100000000000000000000001000000000000000000000000010000000000010000000000010100000000000100000000010100000000000000000000000000000000011010000001000000101000000000000001000001000000000010100000000000000000010000000000000000100001000000000001101010000000001000000000000000000100000000000100000000001001000000000000000100101110000000000000000010000100100000000000000000000000010000000111000001000000010000000001100000010000000000000100000000000010100000000000000000000010000,1100010000000001000000000000000001000000010000000000000000000000100000000000000000000000001000000000000000000000001010000000000010000000000000000000000000000000000000000000000000000000100000010000000000000000100000000000000001010000000000000000001000000000000000010000100000000000000101000000000000000000000000000010000000000010000000000000100000000000000010000110000000000000000000000000010000000000000000000000000000000000000000100000001000000000000000001000000000000010000000000001010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010100000000000000000000000000000000011010000000000000101000000000000000000001000000000000000000000000000000000000000000000000000000000000000001100000000000001000000000000000000000000000000000000000001000000000000000000000100010000000000000000010000100000000000000000000000000010000000111000000000000000000000001100000000000000000000000000000000000000000000000000000000010000,1101110001111000000111101100111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000100000000000000000000000000011000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000011110000001000001000000001000000000000000000000001101001111001110010111011000000001101011001011001000100000111100000000000010000010001000100000000010001001011101001001011000000000001000001000000000000000000010010100000010000100000000100010001000100000011000100001101100110010000000101001110110001111101110000010010101101100011001010001110001000010000110011011110110000000011111100011011001100001111011110011001001001000001000111000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Erythromycin,00000000000000000000000000000000000000000000000000000010010000000010000010100000000001100111010101100100100010011011100010110011000111001101110101101110101111111101110,00000000001000000000000000000010010010000010000010000000000000000000000000000000100000000000010000011000000000000000000000000000011010000111100110000100100000000000000100000001000000010000000001000000000000100010000000000000000100010100001000110001101110000000000000001100000000110000010001000011000100000000000000100100000000000100000000000010000001000000110000000000010100100000000001000000000000000001000000000010000000000010011000000010000000001000000100000001000100000000000000000100000000000000000000010000,0000000000000000000000000000001001001000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000001100000001110000000010010000000000000000000000000000000000000000100000000000010000000000000000000000001010000000010000010110000000000000000110000000011000001000100001000010000000000000010010000000000000000000000001000000100000011000000000000010000000000000000000000000000000100000000000000000000001000100000001000000000000000000000000100010000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000010000011000000000000000000000000000000010000110000110000000000000000000000100000001000000010000000000000000000000000010000000000000000100000000001000010001000010000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000001000000010000000000010000100000000001000000000000000000000000000010000000000000010000000000000000001000000100000000000000000000000000000000000000000000000000010000,1101110001111100000111111000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000001000000000000000000000001101011111001111000110000000000001110000001000001000000000110000000000000110000000000000100000000000100000001001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000001001100010000000101100000000010000000000000000010011001000000000000000000011100100000000000000001011100000000000000011100101011101100111111001100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Fluconazole,00000000000000000000000000000000000000000010000000001000000000000110000000010101100100010000001111001000100100011000000011101100001010100111001010001010110111100111110,10000000000000000000000000000000000010000001000000000000000000000001000000000000100000000000000000000000000000010010000000000000000000100001000000000000000000000000010000000000000010000001000000000000000000000000001000000000000000000001000000100000000000000001000000000000000100000010000000000001000000001000000000000000000000000000000001000000000000000000100000010000000010000010000000100000100000000000000000000000000110011000000000000100000000000000000000000001000000000000000000000000010000000000000000000000,1000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000010000000000000000000000000000000010000100000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000100001000000000000000000000000010000000000000010000001000000000000000000000000001000000000000000000001000000100000000000000000000000000000000100000010000000000001000000001000000000000000000000000000000001000000000000000000000000010000000010000000000000000000100000000000000000000000000010010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000,1101110001110000000111001110100001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000101100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000011111000000000000100000001000000000000000000000001100010001001100000110011000000011000011010100010000100001100000100000010010000000001010001000000010001000000100001100100100000000000001001000000000000010110011000010000000100000000001110111001000000000000000100000001000100010001000101000101110001000101000000011011001000100011000010001110000000000000010110011000000000000110001100010011000000001111001000011000000111000000000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Fosfomycin,00000000000000001000001000000100000000000001000010000000010000000000010010000000000000000100000000000010001000001000000000001000001100000101100000101010100001011000110,00000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000010000000000000000000000000000000000000000000000010001000000000000010000000000000000000000000000000000000000000000000000000000000000000010000010000000001000000100000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000,0000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,1101110001100000000100000000111000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010000010000000000000001000001000000000000000001000000101001010100010000000000000100000001000000000000000000000000000000100000100000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Fusidic acid,00000000000000000000000000000000000000000000000000100000000000000010000000101000000000000011000010010100110010001001101000010011110110001001110101110110101101011001110,00000101010100000100001000001000110010100001001000000000000000000000000010000000100000000000000001000010000000100000000000000000001000000010000100000000000000100000000100000000000000110100000000000000001000000000000000000100000010000100000000000000001000000000100000001000000000000000010000000001000001000000000000000000000000001010000001000010000001000000110000000000000000000010010000010100000000000100000001001011000000000000000000000000000000100000010000000000000000000000000100000000100000000000000001010000,0000010000010000000000000000000011001000000000000000000000000000000000000000000010000000000000000100001000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000010000000100000000000000001000000000000000100000000000000000000000000100000000000000000000000000011000000000000000000000000000001010000000000010000000000100000000000000000000000000000000010000001000000000000000000000000010000000010000000000000000000000000000001010000000100001000001000000000100001001000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000010000000000000000000100000000100000000000000110100000000000000001000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010000001000010000001000000000000000000000000000010010000000000000000000000000001000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000,1101110001111100000111100000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000011000001100000110000000000000000000000000000000000000000000000011000001100000000000000000000000000000000011010000000000000000000001000000000000000000000001111000101001010000010000000000000100000001000001000000000000000000000000110000000001000100000000010001000001101001000001000000000000000000000000000000000000010000000000000000000000000000000001000000000010000000000000000010010000000000000010100000100100000000000100001000000000000001001010000000000000000010010000000000000000000100000110001000000111000100011100000111111000000111110000000000000000000000000000000000000000000000000000000000000001100000000000000000001100000000000000000001100000000000000000000100000000000000000001000000000000000000000000000
Gentamicin,00000000000000000000000000000000000000000000000000000110010000000010000010000000100010000111010101100000100011011001101010010011000111000101111101110111110011111101110,01000000001000000000000000000100110010000000000000000100000000000100000000000000100010000000000000000000000000000000000000000000101000000000000010010000000000000010000001000000000000010000000100000010100000000000100010000000001000010100000000000001001000000000000000001000000000010001000000100001100111000010000000000000000000000000000000000000000000000000010101000000100100000000000001000000010000000000001000000010000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000110000,0100000000100000000000000000000011001000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000010100000000000000001000000000000001000000000000000000000000000010000000010000000000010000000000000100000010000000000000000100000000000000000100000000001000100000010000000010100001000000000000000000000000000000000000000000000000001010000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000010000000000000010000000000000000010000000000000010000000000000001000000000000000000000000000000000000000000100001100010000000000000000000000000000000000000000000000000000000000001000000100100000000000001000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000,1101110001111100000111101110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010001001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001000000001000000000000000000000001100011111001111000110000000000001110000001000001000000000101100000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000001001100010000000000100000000011000000000000000010011101000000000000000000011100010000000000000001011100000000000000011111000011110000001011010000110000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001010000001000000000001010000000000000000000000000000000000000000000000000000000000000
Imipenem,00000000100100000001000000000000000000000000010000000000000000001000000000001110010111001111100111011000010010110000011101110001110100001111101100111011111111111100110,01000100000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000010010010010000010000100000000000001001000000100100000100000000000000001000010000000000000100010000000000000000100000000000000000000000000000000001000000000001001000000000000000100000000000000000000100000100000000000000100000000000000001001010010100100100000000000000000000000110000001011000001000000000000000000001000010000000000000100000000000000000000000000000000000010000,0100010000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000001001001000000000010000000000000000000000000000000000000000000000000100000000000000000010001000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000010000010000000000000010000000000000000000101000010000010000000000000000000000010000000000000000100000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000001001000000100100000100000000000000001000010000000000000000000000000000000000100000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000001000000010000100000000000000000000000000010000001011000000000000000000000000001000000000000000000000000000000000000000000000000000000010000,1101110001111000000111001100111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000011110000001000001000000001000000000000000000000001101001111001110010111000000000001101000001100001000000000110100000000000010000010001010100000000000000001011101000101111100000000000000000000000000000000010010000000000000000100000000000000001000100000011000100000000000010010000000001000010100000111100010000010000000001000000000010001010000000000000000011010100110000000001011100000010001000000111001100000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Isavuconazole,00000000000000000000000000000000000010000110000100001000000000100110000000010101110100011000001111001000100100011000100011101100000010100101001011001010110111101111110,11000000000000000000000000000001011010001001000010000000000000000101000000000000100000000000000000000010000000001010000000000000000000101001000000000000000000000011010000000000000000000001000000000000000000000000001010000000000000000001000010100000000000000000000000000010000100100011000000000001000000001111000010010001000000000000000001000000000000000000100010010000000010000010000010101000101000000000000000010000001110010000000000010000000000000000000000000001000010000000000000000000010000000000000000000000,1100000000000000000000000000000001100000000100000000000000000000010100000000000010000000000000000000001000000000101000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001010000000000000000000000000000000000000001100000000000000000000011000000001000000000000000000000000000000000000000010001000000000000000001000000010000000100000000000000001000000010000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000001000010001000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000011010000000000000000000001000000000000000000000000001000000000000000000001000000000000000000000000000000000010000100100010000000000001000000001001000010000001000000000000000001000000000000000000000000010000000010000000000010001000100000000000000000000000001010010000000000010000000000000000000000000000000010000000000000000000000000000000000000000000,1101110001111000000111101110100001100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000101100000000000000000000000011000001100000000000000000000000000000000000000000000000000000000000000000000111110100000000000000000000011111000001000000100000001000000000000000000000001101010011001100010111011110000011001011011110010001100101100000100000010010000010001011011000000111001001000110001101100100000000001011001011110000101010110111000110001010101110000001110111001000001101000011100000101100100110001000101010101110101000101010000010011001000100011000010001110000000010000110111011000000000000111011100010011000000011111001000011000000111000000000111011000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Itraconazole,00000000000000000000000000000000000001000000000000001000010000100100000010010101100101110100001111101001001101111111011011111111111011110110101111111110111111111111110,11000000100000000000001000000000010011000001001001001001000000000001001010001000100010000000000000010010000000001000010000000000000000000011000110010001000000000000010000010001000000010100000000000000000000100000001010000000000000010101110000000000010000100001000000000000000000000001000001000010000000001000000000100000001000000000001001000000000000000000100000010011000000000010010000010010000000011000000100000010000011010000100000000000000010000000000010000000000000000000000000001000010001000000000001010000,1100000000000000000000000000000001001100000100100000000000000000000000101000100010001000000000000001001000000000100000000000000000000000000000010000000100000000000001000000000000000000010000000000000000000000000000001000000000000001010010000000000001000000000000000000000000000000000100000000001000000000000000000010000000100000000000000000000000000000000010000000001100000000001001000000001000000001000000010000000000000000000010000000000000000000000000001000000000000000000000000000100001000000000000000000000000000000100000000000001000000000000010000000000001001001000000000001000000000000000000000000000000000000000000000000010000000000000000000011000010010000000000000000010000010001000000010000000000000000000000100000001000000000000000000001010000000000000000100001000000000000000000000000000001000000000000001000000000000000000000000000001001000000000000000000000000010000000000000000000000010000000000001000000100000010000011010000000000000000000010000000000000000000000000000000000000000000000001000000000001010000,1101110001111100000111111111111000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000100100010000000000000000000011110001100000110000010000000000000000000000000000000000000000000000000000000111010100000000000000000000011110000000100000100000000000000000000000000000001100001111101110000110011000001001100011011111011110100001110000100000010100000000001010101000000010001001000100001101110100000000001001001000001000000010110011000110100111100000000001111111001000000000000000111001101110100010001001111101101110001000101100010110111011100110111011011100111000001010001110110111000110000100111101111011101000001001111011000011000000101000000000111000000100010000001000000000000000000000001000000100000000000000000000100010000001000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000
Levofloxacin,00000000000000000000000000000000000000000010000000000000010000100100000000010001100001110100010101101100010101010101101011110101110001111111101111111110111011111111110,00000000000001100000000100000000010000000000000000000000000000000100000000000000000000000000000010000000000000001000000001000000000000000010000010100000000000000000000000000010000000000001000001000000000000010000100000000010000000000000000000000000000000000000010000000010000000000000010000000001000000001000100001100000000000000000110001000000000000000000100000010000000000000000110000011100100000000000000100000010100000010000000000010000010000000000010110000000100000000000000000001000000000000000000000010100,0000000000000010000000010000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000010000010000000000000000001000000000000000000000010000000000000000000000000000000010000000000000000010000000010000000000000000000000001000000000001001000000010000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000001000000000000000010000010000000000000000000000000000010000000000001000001000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000001000000001000000001000000000000000000100001000000000000000000000000010000000000000000110000011000100000000000000000000010000000010000000000010000000000000000000100000000000000000000000000000000000000000000000000010100,1101110001111000000111101100111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110001011000100000010000000000000000000000000000000000000000000000001011000100000000000000000000000000011111000000000000000000001000000000000000000000001100001011001110000110011000000011100011001011001110100000110000000000000110000000001000100000000010101001001101011001001000000000001000001000001000000000000010010100100000000000000000000010001000000000010000110101001100110010000000111001100110001111101100110011110100110110111001011101111001101010001110010011100000000100011101100011111001110001111001101011011001101100111001111000001000000000000000000100000000000001000000001000010000000000000001000000000000000000100000000000001000000001000010000000000000000000000000000000000000000000000000000000000000
Linezolid,00000000000000000000000100000000000000000010000000000000010000100000000000010000101101110010100110101000001101110000111011110001110011111110101111111011111111111111110,00000000000100000000000000000000010000000000000000000000000000000000100000000000100000000000001010000000000000000000000100000000100000000010000010000000000000000000100000000000000000000001001000000100000010000000001000010000000100010100001100000100000000000000000000001001000000000000000001000001000000001000000000100000000000000000000001000000000000000000100010010001000000000001010000000000101000000000000100000010010000010000000001000010100000000000000010000000000000000000000000000000000000000000001001010000,0000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000010000000000000000000000000000000000010000000000000000000000000100000010000000000000000000000000000000001010000010000010000000000000000000000100100000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000100000000000001000000000000000000000000010000000001000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000001010000000000000000000000000000000000000000010000010000000000000000000000000000000000000000001000000000000000010000000001000010000000100000000001000000000000000000000000000000000000000000000000001000001000000001000000000000000000000000000000001000000000000000000000010010000000000000001010000000000101000000000000000000010000000010000000000000010100000000000000000000000000000000000000000000000000000000000001001010000,1101110001111000000111101100111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000011110001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011111000000000001000000000000000000000000000000001000000111001110000110010000000011100011001011001000100000111100000000000100000000001000100000000000001001010101001001011000000000001000001000000000000000000010000100000010000000000000100010001000100000000000100001100100100010000000101000100000001000101100000011010001100100011000111100100000000010000110000010010110000000001101100011001000000001110001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
